number,heading,recipient,location,date,body,footnote,start_page,language
PREMIERE,LETTRE PREMIERE.,A la Comtesse de ***.,Rotterdam,le 3 Août 1716. Vieux style.,"Vous apprendrez avec plaisir, sans doute, ma chere Sœur, que j'ai passé la mer sans accident, quoique nous ayons essuyé une tempête. Le Capitaine du Yacht nous fit partir dans un tems calme, croyant qu'il étoit facile de faire le trajet à la faveur de la marée ; mais deux jours étoient à peine écoulés qu'il s'éleva un vent si violent, qu'aucun matelot ne pouvoit se tenir debout ; & nous fumes cruellement agités toute la nuit du Dimanche au Lundi. Je n'ai jamais vu un homme plus effrayé que le Capitaine. Pour moi, je n'ai eu ni crainte, ni maladie de mer. J'avouerai cependant que j'avois fort envie de me voir encore une fois sur la terre ferme, & que je n'eus pas la patience d'attendre l'arrivée du Yacht à Rotterdam : je me fis transporter dans la grande chaloupe à Helvoetfluys, où nous primes des voitures pour le Briel. Je fus enchantée de la propreté de cette petite Ville ; mais celle de Rotterdam me ravit : toutes les rues y sont pavées de grandes pierres ; on voit devant les por- tes, même des Artisans, des siéges de marbre de diverses couleurs : le pavé est toujours si bien nettoyé, que je parcourus hier presque toute la Ville, incognito, & en pantoufles, sans attraper la moindre crotte. Enfin, les rues de Hollande sont plus propres que nos chambres à coucher.
Les rues de Rotterdam sont toujours si remplies de monde, qu'il me semble que c'est une foire continuelle. Il est vrai qu'on ne trouve point de Ville plus avantageusement située pour le commerce. Il y a sept grands canaux par lesquels les vaisseaux marchands montent jusques devant les portes des maisons. Les boutiques & les magasins sont d'une magnificence & d'une propreté étonnantes. On y voit une quantité incroyable de très-belles marchandises, qui sont toutes d'un prix si inférieur à celui qu'elles coûtent en Angle- terre, que, malgré moi, je me persuade en être fort éloignée.
On ne voit pas plus de mendians à Rotterdam que de crottes : les yeux n'y sont point choqués, comme à Londres, par le dégoûtant spectacle d'une quantité d'estropiés; on n'y est point fatigué par les importunités de paresseux & de paresseuses, qui vivent par goût dans la saleté & dans l'oisiveté. Les plus petites Marchandes, les servantes même y sont plus propres que la plûpart de nos Dames. Les femmes ne font asservies à aucune mode ; chacune se met à son goût ; ce qui cause dans les ajustemens une variété assez agréable.
Je ne me plains point, comme vous voyez, ma chere Soeur ; &, si je n'essuie pas plus de désagrément que je n'ai fait jusqu'ici, je ne me repentirai point d'avoir formé le projet de voyager ; je m'en féliciterai, au contraire, toutes les fois que je trouverai occasion de vous amuser par quelque récit agréable. Mais on est intéressé en Hollande, & j'ai assez pris le style de Rotterdam, pour vous demander en échange toutes les nouvelles de Londres. Vous voyez que je fais déjà bien faire un marché. Je suis votre affectionnée Sœur, &c.",,vol1_9,fr
II,LETTRE II.,A Madame S....,la Haye,le 5 Août 1716. Vieux style.,"JE me hâte de vous apprendre, ma chere Dame, que je n'ai point encore essuyé les fatigues insupportables dont vous m'aviez menacée. Je suis, au contraire, très-satisfaite de mon voyage. Nous faisons de si petites journées, qu'il me semble plutôt être en partie de plaisir qu'en route. Rien n'est plus agréable que de voyager en Hollande ; ce Pays ressemble à un grand jardin. Tous les chemins y sont bien pavés, & bordés, des deux côtés, d'arbres qui les couvrent de leur ombre ; on y voit aussi de grands canaux, où les bateaux se croisent sans cesse. De vingt pas en vingt pas on découvre quelque Village ; & de quatre heures en quatre heures, quelque grande Ville. Je suis actuellement dans un des plus beaux Villages du Monde. On y voit plusieurs quarrés ou places environnées de beaux édifices, & plantées de grands arbres touffus, qui y font un très-bel effet. Le Voor-Hout est à la Haye, ce que le Hide-Parck & le Mail sont à Londres; les personnes de qualité vont y prendre l'air à pied & dans leurs voitures ; il y a des boutiques où l'on trouve divers rafraîchissemens. J'ai vû plusieurs jardins magnifiques ; mais je ne vous en ferai pas la description ; je craindrois de vous ennuyer. Ma Lettre vous paroît, sans doute, déjà trop longue : je ne l'acheverai cependant pas sans vous faire excuse de ne vous avoir point envoyé la dentelle que vous m'aviez demandée : elle est en vérité plus chere ici qu'à Londres ; mais les marchandises des Indes y font à très-bon marché : si vous en voulez, je m'acquitterai de votre commission avec beaucoup de plaisir & d'exactitude. Je suis, ma chere .... , &c.",,vol1_13,fr
III,LETTRE III.,A Madame S. C.,Nimegue,le 13 Août 1716. Vieux style.,"JE suis bien fâchée, ma chere S. C. que l'inquiétude de vos parens sur votre santé, & votre soumission à leurs volontés, nous privent, moi, de la satisfaction d'être avec vous, & vous, de celle de faire un voyage agréable. Lorsque je rencontre quelqu'un de ces objets qui charment la vue, je suis saisie de tristesse, parce que vous êtes privée du plaisir de le contempler avec moi. Si vous étiez à Nimegue, vous attendriez à chaque instant des visites de vos parens qui sont à Nottingham ; ces deux Villes se ressemblent parfaitement. Il n'y a de différence qu'entre les noms de Meuse & de Trent : le coup d'oeil est le même. Les maisons, comme celles de Nottingham, sont bâties les unes sur les autres, entre-mêlées de jardins & d'arbres. La Tour de Jules-César est située comme le Château de Nottingham : j'ai monté dessus, & j'ai cru voir la plaine du Trent & Adboulton, lieu qui nous sont si connus. Il y a cependant de la différence entre les fortifications : tous les Connoisseurs vantent beaucoup celles de Nimegue. Pour moi, qui ne m'y connois point, je vous dirai seulement que la promenade qui est sur les remparts est assez agréable. On y trouve une Tour, nommée à juste titre le Belveder ; c'est un des plus beaux points de vue du monde : on y prend du thé, du caffé, &c. Les promenades publiques n'ont d'autre agrément que l'ombrage épais qui y regne. J'oubliois de vous parler du pont, qui est une chose surprenante. Il est assez spacieux pour contenir trois ou quatre cents personnes, outre des chevaux & des voitures : pour y monter il en coûte deux sols d'Angleterre. Ce pont part, & porte les passans de l'autre côté de la riviere ; mais si lentement, qu'à peine s'apperçoit-on que l'on est transporté. J'allai hier à l'Eglise des François, & examinai leur rit avec curiosité. Le Ministre commença d'abord par frapper sur un chapeau à grands bords ; ce qui lui donnoit tout-à-fait l'air de cet homme de la foire de Saint Barthelemi : il continua avec des gestes qui annonçoient l'antiquité ; enfin, prêcha à peu près de la même maniere que l'autre débitoit ses drogues aux marionnettes. Au reste, on l'écoutoit avec beaucoup d'attention, & quelqu'un de son troupeau m'assura qu'il passoit pour un homme de mérite. J'i- magine que vous êtes aussi fatiguée de mon récit, que je le fus de son Sermon : mais M. votre Frere excusera une digression en faveur de l'Eglise Anglicane. Vous sçavez qu'il y a autant de mérite à parler peu respectueusement des Calvinistes, qu'à parler honorablement de l'Eglise. Adieu, ma chere S. C. souvenez-vous toujours de moi, & soyez persuadée que je ne vous oublierai jamais.",,vol1_16,fr
IV,LETTRE IV.,A Milady ***.,Cologne,le 16 Août 1716. Vieux style.,"SI vous pouviez, Milady, vous former une idée des fatigues que j'ai essuyées depuis deux jours, vous me tiendriez compte, j'en suis persuadée, du courage que j'ai de vous écrire, & vous le prendriez comme une preuve convaincante de la parfaite considération que j'ai pour vous. Nous avons pris des chevaux de louage, parce qu'il n'y a point de Poste de Nimegue à Cologne, & nous nous sommes arrêtés à Remberg, pour nous reposer ; mais nous y avons été fort mal logés. Ce n'est, cependant, rien en comparaison de ce que je souffris hier. Nous nous flattions d'ar- river à Cologne ; mais nos chevaux ne purent passer Stamel, qui en est à trois lieues. On nous mit dans une chambre, ou plutôt dans une étable : je ne jugeai pas à propos de me coucher, quoique j'eusse mon lit avec moi, parce que le vent nous assiégeoit de tous côtés. Nous avons quitté ce lieu désagréable dès le point du jour, & nous sommes arrivés, ce matin, sur les six heures, à Cologne : je me suis mise au lit sur le champ, & j'ai dormi trois heures ; ce qui m'a entierement délassée. Mon premier soin a été d'aller voir les curiosités de la Ville, c'est-à-dire les Eglises ; car il n'y a pas d'autre bâtiment qui mérite attention. Cette Ville est très-grande ; mais les édifices ont tous un air de vétusté. L'Eglise des Jésuites est la plus propre. Un jeune & beau Jésuite a eu la complaisance de me la montrer. Comme il ne me connoissoit pas, il a pris la liberté de me faire des complimens, d'un ton aisé, même un peu railleur ; ce qui m'a beaucoup divertie. Je fus frappée de la magnificence des Autels, de la richesse des statues, qui sont toutes d'argent massif, & de celle des châsses. Je n'ai, cependant, pu m'empêcher de murmurer intérieurement de la profusion des perles, des diamans, des rubis qui font atttachés aux ornemens de ces Reliques. J'ai même été assez méchante, je l'avoue, pour convoiter le collier de perles de sainte Ursule. Au reste, étoit-ce bien une méchanceté ? Une statue n'est point mon prochain. Pendant que j'y étois, j'ai souhaité que la statue même de cette fille fût convertie en vaisselle de toilette. Je voudrois bien aussi convertir en argent un grand saint Christophe que j'y ai vu. Voilà mes pieuses réflexions. J'ai cependant été bien satisfaite de voir entassés, à l'honneur de notre Nation, les crânes des onze mille Vierges. Il y a encore quelques centaines d'autres Reliques d'une aussi grande conséquence; mais je crois que vous me dispenserez d'imiter les Voyageurs, qui ne manqueroient pas de vous en envoyer une liste. Adieu ; je vais souper, & boire à votre santé avec d'excellent vin de Lorraine, qui est celui qu'on appelle Bourgogne à Londres.",,vol1_20,fr
V,LETTRE V.,A la Comtesse de B***.,Nuremberg,le 22 Août 1716. Vieux style.,"LA fatigue que j'ai essuyée pendant cinq jours de poste, ne m'empêchera pas d'exécuter l'ordre flatteur que m'a donné ma chere Comtesse de lui rendre compte de mes voyages. J'ai traversé une grande partie de l'Allemagne, & j'ai vu tout ce qui mérite de l'attention à Cologne, à Francfort, à Wurts-bourg, enfin, à Nuremberg. Il est impossible de ne pas sentir la différence qu'il y a entre les Villes libres & celles qui ne le sont pas. Dans les premieres on voit regner l'abondance que produit le commerce ; les rues sont belles, remplies de monde vétu d'une maniere niere simple, mais honnête ; les boutiques sont garnies de marchandi- ses ; le tiers-état, en général, a l'air propre & content. Les habitans des autres Villes, au contraire, affectent un luxe au travers duquel on voit percer l'indigence. Les gens de qualité font mal-propres, & tous habillés d'une maniere ridicule : les rues sont très-étroites, sales, mal entretenues, & très-peu habitées ; plus de la moitié du peuple demande l'aumône. Une Ville libre enfin me présente à l'idée la femme d'un Citoyen de Hollande proprement, mais simplement mise ; une qui ne l'est pas, m'y présente, au contraire, une Fille de joie, dont la tête est extrêmement bien parée, le visage couvert de fard ; mais le reste de son habillement est sale & en mauvais ordre : misérable mélange de vice & de pauvreté. I. Partie. A Nuremberg, il y a des Loix somptuaires qui préviennent l'excès, ruineux à tant de personnes dans les autres Villes. Les rangs y sont désignés par l'habillement ; ce qui fait, aux yeux d'un étranger, un effet plus agréable que nos modes. J'avoue franchement que je souhaiterois, de tout mon cœur, que ces Loix fussent établies dans beaucoup d'autres endroits. Lorsque l'on voit que, dans la plupart des Villes, un habit riche fait le mérite, donne de la considération, on est forcé de convenir, qu'il faut avoir un bon sens plus qu'ordinaire, pour résister à la tentation de plaire & d'être admiré. Les jeunes gens ne cedent que trop à cette tentation, quoiqu'ils se mettent souvent par-là dans le cas de manquer d'argent, ce qui les expose à mille bassesses, & les conduit même jusqu'au crime. Combien de personnes nées avec les meilleures inclinations, ont fini par commettre les plus horribles attentats, pour avoir contracté, par de folles dépenses, des dettes qu'il leur étoit impossible d'acquitter ! Elles ne se seroient jamais trouvées dans ce cas, si la multitude ne respectoit point les habits, & si le prix en étoit fixé par la Loi. Ces réflexions en font naître d'autres trop tristes : il faut vous en distraire par le spectacle des Reliques dont j'ai été régalée dans toutes les Eglises Romaines. Les Luthériens ne sont pas tout-à-fait exempts de ces dévotions. J'ai vu, dans la principale Eglise de cette Ville, un morceau de la Croix garni de pierreries, & la pointe de la lance, qu'on m'a dit être celle dont le côté du Sauveur fut percé. Mais je m'amusai singulierement dans une petite Eglise de Catholiques Romains, qui est tolérée ici. Comme ceux de cette Religion ne sont pas riches à Nuremberg, ils ne peuvent mettre des ornemens de prix à leurs statues : on en voit une du Sauveur au-dessus de leur Autel, à laquelle ils ont, par vénération, mis un habit, & une perruque bien poudrée. Cela vous surprend, & vous croyez que je viens de vous raconter une fable ; mais je vous proteste que je n'ai point encore fait usage du privilége des Voyageurs, & vous pouvez me croire à ce sujet avec autant de confiance, que quand je vous assure que je suis, &c.",,vol1_24,fr
VI,LETTRE VI.,A Madame P***.,Ratisbonne,le 30 Août 1716. Vieux style.,"JE n'ai reçu votre Lettre que la veille de mon départ de Londres. Je vous remercie de vos bons souhaits : je leur attribue tant de vertu, que je croirois volontiers leur devoir, en partie, le bonheur que j'ai d'être si avancée dans mon voyage, sans avoir essuyé aucun accident. Ce n'en est pas un d'avoir été arrêtée quelques jours dans cette Ville, par un rhume, puisqu'il m'a procuré l'occasion de voir tout ce qu'il y a de plus curieux, & d'y lier connoissance avec plusieurs Dames qui ont eu la politesse de me rendre visite, principalement Milady ***, femme de l'En- voyé de Hanovre. Elle m'a menée à toutes les assemblées, & m'a traitée magnifiquement à son Hôtel, qui est un des plus beaux de la Ville. Toute la Noblesse de Ratisbonne est composée d'Envoyés de différens Etats. Ils sont en très-grand nombre, & passeroient leur tems agréablement, s'ils étoient moins délicats sur le cérémonial : mais, au lieu de chercher à s'amuser réciproquement, ils ne s'occupent que de querelles, qu'ils semblent même vouloir éterniser, en les laissant comme un héritage à leurs successeurs ; de maniere qu'un Envoyé à Ratisbonne, en essuie au moins une demi-douzaine, comme si c'étoit un casuel ordinaire à sa fonction. Les femmes ne manquent jamais de fomenter ces importantes disputes, qui divisent la Ville en presqu'autant de partis qu'il y a de familles : elles aiment mieux avoir la mortification d'être seules dans leurs assemblées de nuit, que d'abandonner la moindre de leurs prétentions. Je ne suis ici que depuis une semaine ; cependant chacune de ces Dames m'a raconté tous les griefs, & tous les sujets de plainte qu'elle croit avoir contre ses voisins & voisines. Je m'apperçois qu'on a le projet de me faire déclarer pour quelque parti ; mais la prudence m'ordonne la neutralité. Je ne pourrois, cependant, la garder longtems si je restois dans cette Ville, parce que, lorsqu'on fréquente les personnes d'un parti, l'on est insulté par celles de l'autre. Ces disputes roulent sur le rang, sur la préféance, enfin sur le titre d'Excellence, auquel tout le monde prétend, & qu'on a la méchanceté de ne vouloir accorder à personne. Je leur ai con- seillé, pour le bien public, de le donner à tout le monde, afin que chacun l'obtienne de tout le monde: mais on m'a écoutée avec indignation, comme quelqu'un qui proposoit une paix deshonorante. Je m'apperçois que ces querelles font un amusement pour les habitans de Ratisbonne, & je me blâme moi-même d'avoir voulu les en priver. Mon inclination pacifique commence déjà à me faire regarder de mauvais œil : chacun se dit à l'oreille que je suis bien fiere d'avoir, jusqu'à présent, fait honnêteté à tout le monde, & qu'il faut que je n'aye trouvé personne digne de prendre querelle avec moi. Je changerois de conduite, si je n'avois dessein, de continuer mon voyage dans peu de jours. J'ai visité les Eglises de cette Ville, & l'on m'a permis de toucher les Reliques; complaisance qu'on n'avoit pas eue dans les autres Villes où j'ai passé. En les voyant de si près, j'ai eu occasion de faire une remarque que j'aurois, sans doute, pu faire par-tout ailleurs ; c'est que les diamans, les émeraudes, les rubis, &c. qui servent à les orner, sont, pour la plûpart, des pierres fausses, quoi-qu'on assure qu'une grande partie des croix, des statues, qui sont garnies de ces pierreries, ayent été données par des Empereurs & d'autres grands Princes. Je ne doute pas qu'elles ne fussent d'abord des pierres fines ; mais les bons Peres ont, sans doute, jugé à propos de les employer à d'autres usages, ne doutant pas que des morceaux de verre ne fissent autant d'effet aux yeux du peuple.
On m'a fait voir la griffe d'un Griffon enchâssée dans de l'or : elle est d'une grosseur prodigieuse. J'ai demandé au Révérend Pere, qui me la montroit, si le Griffon étoit un Saint. Cette question lui a presque fait perdre sa gravité; il m'a cependant répondu qu'on ne gardoit cette griffe que par curiosité. J'ai été scandalisée de voir une grande statue d'argent qui représente la Trinité. Le Pere Eternel est sous la figure d'un vieillard décrépit; il a une barbe qui lui descend jusqu'aux genoux, & une triple couronne sur la tête. Il tient dans ses bras le Fils attaché à la croix, & le Saint-Esprit, qui est en forme de colombe, voltige sur sa tête. Milady *** me propose d'aller à l'assemblée; ce qui est cause que je vous dis sans préambule, que je suis toujours Votre, &c.",,vol1_29,fr
VII,LETTRE VII.,A la Comtesse de ***.,Vienne,le 8 Septembre 1716. Vieux style.,"JE suis enfin arrivée à Vienne : quoique nous ayons essuyé beaucoup de fatigues mon cher enfant & moi,nous nous portons très-bien. A Ratisbonne nous nous sommes embarqués sur le Danube,dans de petits vaisseaux qu'on appelle, avec raison, des maisons de bois : on y trouve autant de commodités que dans un Palais ; poëles, cuisines, &c. Ils ont douze rames, & vont avec tant de rapidité,que la vue est frappée d'une variété continuelle de perspectives. Rien n'est plus agréable que cette route : d'heure en heure on apperçoit une Ville bien peuplée, & ornée de Palais magnifiques : on découvre des solitudes, dont la description sembleroit romanesque : enfin les bords du fleuve sont agréablement diversifiés par des bois, des ro- chers, & des coteaux couverts de vignes, des champs remplis de bled; par de grandes Villes, & des ruines d'anciens Châteaux. J'ai vu Passau & Lintz. Cette derniere Ville est fameuse pour avoir été la retraite de la Cour Impériale, lorsque Vienne fut assiégée. Quoiqu'elle soit aujourd'hui honorée de la résidence de l'Empereur, elle n'a pas rempli mon attente ; je l'ai trouvée bien plus petite que je ne le pensois : ses rues sont si étroites, qu'il est impossible de voir les beaux frontispices des Palais. Ils sont presque tous bâtis de belles pierres blanches, & prodigieusement élevés. Comme Lintz ne peut contenir tous ceux qui veulent y demeurer, on a entassé Ville sur Ville; la plûpart des maisons ont cinq étages, & beaucoup en ont six. Il est aisé de comprendre que les rues étant si étroites, les chambres font fort obscures; &, ce qui me paroit encore plus insup- portable, c'est qu'il ny a point de maison qui ne contienne cinq ou six familles. Les appartemens des plus grandes Dames, même des Ministres d'Etat, ne sont séparés de ceux des Tailleurs & des Cordonniers que par des cloisons ; personne n'occupe plus de deux étages dans une maison : les maîtres logent au premier, & les domestiques habitent celui de dessus. Les Propriétaires n'occupent de leurs maisons que ce qui leur est absolument nécessaire ; ils louent le reste ; ainsi les escaliers sont aussi communs & aussi sales que les rues. Je conviens que les appartemens sont magnifiques : ce sont ordinairement des enfilades de huit ou dix grandes pièces toutes parquetées : les portes & les fenêtres sont ornées de sculpture & de dorure ; les ameublemens sont si riches, qu'on en voit peu de semblables, même chez les Princes Souverains des autres pays. Ils con- sistent en tapisseries de haute-lisse ; en très-grandes glaces, dont les cadres sont d'argent ; on y voit des tables en vernis du Japon. Les lits, les chaises, les canapés & les rideaux des fenêtres sont de damas ou de velours de Gênes, enrichis de galons ou de broderie en or. Il y a, en outre, de grands vases en vernis de la Chine, de très-beaux tableaux, & de grands lustres de crystal de roche. J'ai eu l'honneur de dîner chez plusieurs personnes de la premiere qualité, & je puis dire, avec vérité, que le bon goût & la magnificence de leur table répond à celle de leurs ameublemens. J'ai vû, plus d'une fois, servir cinquante plats, tous d'argent, & remplis d'excellents mets ; le dessert, qui répondoit au reste du repas, étoit sur la plus belle porcelaine de la Chine. Il y a toujours dans leurs repas une variété surpre- nante de vins exquis. C'est un usage de mettre sur l'assiette des convives une liste de ceux qu'on doit servir, & j'en ai compté plusieurs fois jusqu'à dix-huit sortes des plus excellens. J'allai hier à la maison de campagne du Comte de Schoonbourn, Vice-Chancelier, où j'étois invitée à dîner. Je n'ai jamais rien vu de si beau que le fauxbourg de Vienne : il est fort grand, & ses maisons sont presque toutes des Palais magnifiques. Vienne seroit une Ville & des plus grandes & des mieux bâties de l'Europe, si l'Empereur vouloit qu'on en abattît les portes, & qu'on y joignît le fauxbourg. Pour revenir à la maison de campagne du Comte de Schoonbourn, elle est extrêmement belle. Les ameublemens sont de brocart d'un si beau goût, & si brillant, que l'oeil en est satisfait. Il y a une galerie pavée de pierres très-rares ; & dont les murs sont tout couverts de nacre de perle ; la dorure & la sculpture sont répandues avec profusion dans toute la maison : on y voit quantité de belles peintures & de magnifique porcelaine ; des statues d'albâtre & d'yvoire : la vue & l'odorat sont réjouis par de grands orangers & limoniers, qui sont plantés dans des pots dorés. Le dîner fut splendide & très-bien ordonné ; la bonne humeur du Comte en fit le principal agrément. Je n'ai pas encore été à la Cour ; j'attends ma robe, sans laquelle je ne peux être admise à l'audience de l'Impératrice. Je suis bien impatiente de voir une Beauté qui a fait l'admiration de tant de Nations différentes. Lorsque j'aurai eu cet honneur, je vous marquerai sincerement ce que j'en pense. C'est toujours un nouveau plaisir pour moi d'ouvrir mon coeur à ma chere Sœur.",,vol1_35,fr
VIII,ETTRE VIII.,A Monsieur P***.,Vienne,le 14 Septembre ; Vieux style.,"VOus rirez, peut-être, de voir que je vous remercie sérieusement de l'intérêt que vous dites prendre à ce qui me regarde. Je pourrois croire que votre Lettre n'est qu'une plaisanterie, & peut-être ne me tromperois-je pas : mais je ne pense point, comme le commun des hommes, que l'éloignement diminue l'amitié ; je suis, au contraire, persuadée qu'il augmente celle que vous avez pour moi. Quoique j'affecte l'esprit-fort, je conviendrai cependant que j'ai, comme les autres femmes, une grande disposition à croire aux miracles. Ne pensez pas, au reste, que je sois infectée de l'air qu'on respire dans ces Pays Papistes. Mais je me suis écartée des maximes de l'Eglise Anglicane ; j'allai Dimanche à l'Opéra que l'on donna dans le Jardin de la Favorite. Au reste, j'en fus si contente, que je ne puis me repentir de l'avoir vû. Je crois qu'il n'y a rien de plus beau dans ce genre;& l'on n'eut pas beaucoup de peine à me persuader que les décorations & les habits ont coûté à l'Empereur trois mille livres sterling. Le Théâtre étoit dressé sur un très-grand Canal : au commencement du second Acte, il se divisa en deux parties, & découvrit l'eau sur laquelle on apperçut à l'instant deux flottes composées de petits vaisseaux dorés qui arrivoient de divers endroits : ils représenterent un combat naval. Il seroit difficile d'imaginer la beauté de cette scène : je la regar- dai avec toute l'attention dont j'étois capable. Tout le reste étoit très-beau dans son genre. Le sujet de l'Opéra étoit l'Enchantement d'Alcine. On y change souvent de décorations, ce qui demande une prodigieuse quantité de machines : tout fut exécuté avec beaucoup d'art. Le Théâtre est si vaste, que l'œil peut à peine le parcourir; on y compte jusqu'à cent huit habits, tous de la derniere magnificence. Comme il n'y a point de Salle capable de contenir les décorations & les machines qui y sont nécessaires, on est obligé de le construire en plein air, & les Dames sont exposées aux injures du tems, parce qu'il n'y a qu'un seul Pavillon, destiné pour la Famille Impériale. La premiere fois que cet Opéra fut représenté, il survint une pluie qui obligea les Spectateurs de s'enfuir ; & je pensai être étouffée dans la foule. Durant les Opéra sont beaux à Vienne, autant les Comédies y font ridicules. Il n'y a qu'un Théâtre où l'on en représente: j'ai eu la curiosité d'en voir une. C'étoit Amphitrion, ce qui m'a fait plaisir, parce que ce sujet ayant été déjà traité par un Poëte Latin, un François & un Anglois, j'étois curieux de voir comment un Autrichien s'en étoit tiré. Quoique j'entendisse assez la langue pour comprendre presque toute la Pièce, j'y allai avec une Dame qui eut la bonté de me la rendre mot pour mot. L'usage est de prendre une Loge de quatre Places pour soi & pour sa compagnie, & le prix en est fixé à un ducat. Le lieu du Spectacle étoit bas & obscur; mais je fus bien dédommagée par la Comédie; je n'ai, en vérité, jamais tant ri. Jupiter ouvre la Scène; il fait l'amour à Alcmene, par le trou d'un nuage: la Pièce finit par la naif- sance d'Hercule. L'usage que Jupiter fait de sa métamorphose est très-plaisant : lorsqu'il paroît sous la figure d'Amphitrion, on croit qu'il va voler à Alcmene avec les transports que M. Dryden lui prête ; point du tout, il escroque un habit galonné au Tailleur d'Amphitrion, un sac d'argent à un Banquier, un diamant à un Juif, & commande un grand souper chez un Traiteur. Enfin, la Pièce roule sur les importunités qu'Amphitrion essuie de la part de ces créanciers, Sosie est traité de la même maniere par Mercure. Tout cela me fit beaucoup rire ; mais je ne pardonnai point au Poëte d'avoir lardé sa Pièce d'expressions indécentes, & de mots si grossiers, que le bas peuple de Londres auroit peine à les souffrir dans la bouche d'un Bateleur. Ajoûtez à cela, que les deux Sofies mirent exactement culotte bas, devant des Loges remplies de Gens de la premiere qualité, qui furent satisfaits du j u de ces deux impertinens Acteurs, & m'affûrerent que cette Pièce étoit célèbre. Je finis ma Lettre par cette relation, qui n'est pas indigne de l'attention de M. Collier. Je ne vous ennuierai point par de longs complimens d'adieu ; je les crois, en général, aussi fatigans que les révérences que l'on fait en sortant d'un appartement, lorsque la visite n'a déja été que trop longue.",,vol1_41,fr
