word,language,count,pos,tsne_x,tsne_y
health,en,11,NOUN,12.395076,41.484863
wife,en,23,NOUN,18.559006,-7.6965957
night,en,43,NOUN,15.349263,6.9423
middle,en,5,NOUN,9.579621,12.686299
stage,en,5,NOUN,32.585503,-8.881427
addition,en,4,NOUN,15.395688,23.585003
saint,en,10,NOUN,27.518429,-20.002863
self,en,5,NOUN,30.256956,28.305908
mother,en,17,NOUN,18.011692,-6.9385223
fire,en,11,NOUN,48.85712,-10.616325
gold,en,35,NOUN,23.444777,10.599222
course,en,2,NOUN,17.757511,19.38243
size,en,9,NOUN,46.800884,10.931926
means,en,1,NOUN,50.157116,34.23454
artist,en,1,NOUN,35.641796,-16.44603
word,en,35,NOUN,49.588306,33.845528
blue,en,2,NOUN,54.10861,-8.989375
value,en,11,NOUN,14.435255,27.061892
view,en,12,NOUN,-1.9223136,34.90732
quality,en,24,NOUN,20.096682,20.2091
front,en,2,NOUN,45.979137,-1.4319217
model,en,1,NOUN,32.275375,4.815674
material,en,1,NOUN,30.46405,9.053661
coach,en,14,NOUN,9.082312,4.385749
mark,en,10,NOUN,63.53579,-5.331512
outside,en,4,NOUN,32.9397,-28.138119
brother,en,9,NOUN,16.654823,-7.9537625
writer,en,8,NOUN,27.67401,-9.338723
writing,en,8,NOUN,23.052233,19.533623
interest,en,6,NOUN,25.762218,19.977463
medal,en,6,NOUN,24.03599,12.232514
search,en,3,NOUN,19.852455,44.642216
bay,en,2,NOUN,24.226149,-34.2871
reference,en,1,NOUN,15.466901,33.165752
library,en,1,NOUN,10.552563,-36.434807
management,en,1,NOUN,5.1363087,22.065186
guitar,en,2,NOUN,36.361214,-8.040281
hill,en,11,NOUN,20.45863,-32.63691
daughter,en,12,NOUN,18.034164,-7.6297293
reading,en,1,NOUN,23.198475,19.968395
actor,en,4,NOUN,29.74558,-5.689873
rule,en,1,NOUN,23.642172,36.194347
thought,en,7,NOUN,22.559847,29.617947
hand,en,53,NOUN,54.535503,8.177837
capital,en,3,NOUN,27.078018,-38.892456
valley,en,3,NOUN,20.608805,-35.379498
bank,en,8,NOUN,20.033426,1.7798246
ground,en,16,NOUN,44.824265,-6.934717
leader,en,2,NOUN,2.297136,-4.3804703
bridge,en,11,NOUN,21.178286,-37.69916
industry,en,3,NOUN,6.4188666,22.880447
collection,en,6,NOUN,9.911305,-36.559116
request,en,1,NOUN,9.109097,37.086353
professor,en,1,NOUN,20.516417,-16.906452
campaign,en,5,NOUN,0.1106733,11.732399
theatre,en,2,NOUN,33.26719,-8.820219
empire,en,18,NOUN,0.4709353,3.7197928
length,en,12,NOUN,45.766632,11.235801
market,en,4,NOUN,4.8351736,24.807327
novel,en,1,NOUN,29.580065,-2.1606102
sound,en,9,NOUN,43.011955,12.723399
child,en,22,NOUN,18.360813,-4.5880876
idea,en,16,NOUN,22.299227,30.125393
channel,en,1,NOUN,18.727636,-38.40381
parliament,en,1,NOUN,0.32724735,-6.084144
foundation,en,7,NOUN,8.39446,-2.0304494
ice,en,1,NOUN,11.1917095,-3.271358
governor,en,12,NOUN,3.2708836,-10.476627
account,en,40,NOUN,23.742487,34.725174
taking,en,1,NOUN,13.892764,18.89479
mountain,en,15,NOUN,20.14281,-32.33462
thing,en,71,NOUN,21.286474,25.355999
square,en,8,NOUN,31.781372,-36.206635
woman,en,81,NOUN,22.583553,-2.5052772
officer,en,13,NOUN,3.6976206,-0.9820205
money,en,23,NOUN,3.5248573,28.45145
trade,en,10,NOUN,5.7763853,23.637508
degree,en,10,NOUN,18.910437,-18.019157
birth,en,5,NOUN,17.515396,-3.6434474
sun,en,9,NOUN,38.045605,6.0942817
earth,en,11,NOUN,36.80435,6.9795537
journal,en,1,NOUN,6.2010674,14.741592
beginning,en,2,NOUN,12.093503,13.252567
bit,en,5,NOUN,21.968004,25.800627
structure,en,3,NOUN,35.946815,-28.258026
lord,en,6,NOUN,15.406397,-18.312248
assembly,en,12,NOUN,0.031922422,-6.1452518
queen,en,11,NOUN,9.908339,-20.139866
security,en,2,NOUN,2.914351,20.39114
operation,en,3,NOUN,-9.763612,35.116207
prince,en,21,NOUN,11.328846,-20.27126
staff,en,1,NOUN,3.496687,-1.6992124
nature,en,24,NOUN,-11.879138,29.310188
captain,en,7,NOUN,3.1612077,-0.08855677
saying,en,1,NOUN,27.153328,28.301764
box,en,5,NOUN,16.727089,-26.657227
success,en,1,NOUN,23.740059,16.42708
rest,en,22,NOUN,14.367528,13.973857
matter,en,9,NOUN,20.210339,33.52058
month,en,20,NOUN,12.843403,8.654143
care,en,26,NOUN,12.348857,41.421795
commission,en,4,NOUN,0.52144474,-8.479819
plan,en,1,NOUN,12.363393,36.519783
practice,en,1,NOUN,9.0581455,25.752953
command,en,19,NOUN,4.080886,0.27473822
master,en,12,NOUN,18.48945,-17.709053
feature,en,5,NOUN,26.039608,9.234548
experience,en,1,NOUN,24.774704,27.900507
silver,en,22,NOUN,23.449465,10.6122875
secretary,en,1,NOUN,3.7691238,-7.74854
youth,en,1,NOUN,10.690648,2.2827976
heart,en,18,NOUN,53.872086,16.413795
room,en,38,NOUN,42.83052,-14.541526
stone,en,26,NOUN,40.37892,-22.105776
deal,en,16,NOUN,-2.9564648,24.355701
key,en,1,NOUN,11.02258,30.413555
picture,en,17,NOUN,0.22550298,36.862602
fiction,en,1,NOUN,29.34969,-1.611018
majority,en,1,NOUN,14.466815,25.331331
claim,en,4,NOUN,24.896214,33.541767
seat,en,14,NOUN,-0.6834754,-6.1606355
prize,en,4,NOUN,-6.869438,9.687103
port,en,2,NOUN,24.737541,-34.67905
castle,en,14,NOUN,25.853077,-29.69062
wing,en,1,NOUN,-12.533635,-37.013103
opinion,en,23,NOUN,22.01711,33.457314
commander,en,1,NOUN,3.907178,-0.031707477
fort,en,1,NOUN,26.848831,-31.277912
effect,en,15,NOUN,16.83746,34.194016
purpose,en,8,NOUN,19.655287,40.827003
winter,en,13,NOUN,13.044181,4.413639
appearance,en,11,NOUN,26.358976,9.486823
kind,en,26,NOUN,21.535288,26.835777
entry,en,1,NOUN,2.4163926,14.629533
sense,en,8,NOUN,21.860422,28.508982
meaning,en,2,NOUN,50.12915,34.18613
map,en,1,NOUN,0.113104574,40.172943
bishop,en,3,NOUN,25.085592,-23.376791
rate,en,1,NOUN,13.259776,25.452377
voice,en,3,NOUN,34.748737,-6.3936076
jack,en,1,NOUN,63.873287,-5.7017584
justice,en,6,NOUN,33.171314,42.956215
temple,en,7,NOUN,38.33874,-4.4909077
sister,en,32,NOUN,17.45896,-6.8971457
table,en,14,NOUN,-3.132111,30.89721
friend,en,27,NOUN,15.4656,-6.2104506
loss,en,6,NOUN,48.23197,21.958708
architecture,en,7,NOUN,-11.386971,-31.105536
face,en,44,NOUN,56.057556,8.975909
girl,en,12,NOUN,21.945694,-2.9245622
politics,en,1,NOUN,8.783587,22.298298
cause,en,6,NOUN,49.13147,20.010324
volume,en,1,NOUN,6.0752387,-38.80853
oil,en,1,NOUN,47.05854,-24.141413
victory,en,2,NOUN,5.4521427,9.117815
regiment,en,1,NOUN,4.5254736,2.2192433
branch,en,6,NOUN,-3.459985,-25.682238
train,en,5,NOUN,10.265911,-7.7350564
paper,en,2,NOUN,51.053127,-4.669856
remains,en,16,NOUN,32.55917,-23.850836
wrong,en,2,NOUN,24.929514,37.763844
mass,en,1,NOUN,11.7620735,23.76767
comedy,en,6,NOUN,29.735176,-5.1411057
knowledge,en,8,NOUN,24.465178,28.827002
meeting,en,2,NOUN,25.176834,-8.531578
figure,en,30,NOUN,35.69637,-19.47942
camp,en,3,NOUN,7.5074134,45.154778
variety,en,13,NOUN,16.428919,23.849712
owner,en,3,NOUN,2.5742857,-14.519678
attention,en,2,NOUN,25.850191,19.907444
religion,en,19,NOUN,19.272099,-21.918139
mind,en,22,NOUN,33.877766,10.731033
descent,en,1,NOUN,19.113022,-29.992594
inside,en,3,NOUN,32.990253,-28.098978
authority,en,4,NOUN,1.536596,23.20604
vice,en,3,NOUN,3.7088494,-8.445864
notice,en,10,NOUN,17.970505,37.10884
